@relation author-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute Date {1,0}
@attribute DicoWords {1,0}
@attribute IsMail {1,0}
@attribute relatifNbWordsInBlock numeric
@attribute relatifNumLine numeric
@attribute maxRelatifNumLine {1,0}
@attribute minRelatifNumLine {1,0}
@attribute end {1,0}
@attribute NbNouns numeric
@attribute precededByAuthorTag {1,0}
@attribute createdBy {1,0}
@attribute Location {1,0}
@attribute org {1,0}
@attribute class {0,1}

@data
0,0,0,0.144828,0.575472,0,0,0,1,0,1,0,0,0
0,0,0,0.584746,0.039164,0,0,0,3,0,0,0,1,0
0,0,1,0.062241,0.913793,0,0,1,2,0,0,0,1,0
0,0,0,0.999537,0.281106,0,0,0,0,0,0,0,1,0
0,0,0,0.408163,0.086957,0,0,0,0,0,0,0,1,0
1,0,0,0.053872,0.904908,0,0,1,1,0,0,0,1,0
0,0,0,1,0.818681,0,0,0,2,0,0,0,1,0
1,0,0,0.75,0.83,0,0,0,3,0,0,1,1,0
1,0,0,0.037572,0.583333,0,0,0,0,0,0,0,0,0
0,0,0,1,0.601497,0,0,0,0,0,0,1,1,0
1,1,0,0.954955,0.575301,0,0,0,1,0,0,0,0,0
0,0,0,1,0.345182,0,0,0,0,0,0,1,1,0
0,0,0,1,0.292887,0,0,0,5,0,0,1,1,0
0,0,1,0.999814,0.163685,0,0,0,2,0,0,1,0,0
0,0,0,1,0.126582,0,0,0,0,0,0,0,1,0
1,0,0,0.216263,0.48285,0,0,0,7,0,0,1,0,0
0,0,0,1,0.844262,0,0,0,5,0,0,1,1,0
0,0,0,1,0.833333,0,0,0,0,0,0,0,0,0
0,0,0,1,0.56,0,0,0,0,0,0,0,0,0
0,0,0,0.218066,0.936937,0,0,1,1,0,0,1,0,0
0,0,0,0.009259,0.753456,0,0,0,0,0,0,0,1,0
